2025-04-03 14:12:05,764 - INFO - System Monitor: Starting system monitoring...
2025-04-03 14:12:05,768 - INFO - CPU: Usage: 11.1%
2025-04-03 14:12:05,768 - INFO - Memory: Usage: 86.8%
2025-04-03 14:12:06,482 - INFO - Software: PID: 9880, Name: AsusSystemAnalysis.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,488 - INFO - Software: PID: 10060, Name: ModuleCoreService.exe, Username: None
2025-04-03 14:12:06,493 - INFO - Software: PID: 10080, Name: CNAB4RPD.EXE, Username: None
2025-04-03 14:12:06,494 - INFO - Software: PID: 10172, Name: msedgewebview2.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,497 - INFO - Software: PID: 10252, Name: svchost.exe, Username: None
2025-04-03 14:12:06,497 - INFO - Software: PID: 10296, Name: msedgewebview2.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,497 - INFO - Software: PID: 10396, Name: msedgewebview2.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,505 - INFO - Software: PID: 10484, Name: svchost.exe, Username: None
2025-04-03 14:12:06,509 - INFO - Software: PID: 10744, Name: svchost.exe, Username: None
2025-04-03 14:12:06,514 - INFO - Software: PID: 10772, Name: svchost.exe, Username: None
2025-04-03 14:12:06,518 - INFO - Software: PID: 10784, Name: svchost.exe, Username: None
2025-04-03 14:12:06,522 - INFO - Software: PID: 10836, Name: RuntimeBroker.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,525 - INFO - Software: PID: 10876, Name: svchost.exe, Username: None
2025-04-03 14:12:06,530 - INFO - Software: PID: 11228, Name: McCSPServiceHost.exe, Username: None
2025-04-03 14:12:06,531 - INFO - Software: PID: 11272, Name: ApplicationFrameHost.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,537 - INFO - Software: PID: 11380, Name: AsusScreenXpertUI.exe, Username: None
2025-04-03 14:12:06,537 - INFO - Software: PID: 11412, Name: audiodg.exe, Username: None
2025-04-03 14:12:06,538 - INFO - Software: PID: 11472, Name: chrome.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,539 - INFO - Software: PID: 11608, Name: Code.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,539 - INFO - Software: PID: 11612, Name: StartMenuExperienceHost.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,539 - INFO - Software: PID: 11676, Name: SearchHost.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,540 - INFO - Software: PID: 11800, Name: svchost.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,543 - INFO - Software: PID: 11836, Name: svchost.exe, Username: None
2025-04-03 14:12:06,548 - INFO - Software: PID: 11948, Name: svchost.exe, Username: None
2025-04-03 14:12:06,548 - INFO - Software: PID: 11964, Name: svchost.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,549 - INFO - Software: PID: 12104, Name: Widgets.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,555 - INFO - Software: PID: 12136, Name: svchost.exe, Username: None
2025-04-03 14:12:06,560 - INFO - Software: PID: 12204, Name: unsecapp.exe, Username: None
2025-04-03 14:12:06,563 - INFO - Software: PID: 12520, Name: SearchIndexer.exe, Username: None
2025-04-03 14:12:06,564 - INFO - Software: PID: 12544, Name: chrome.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,564 - INFO - Software: PID: 12672, Name: WidgetService.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,565 - INFO - Software: PID: 12844, Name: dllhost.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,565 - INFO - Software: PID: 13264, Name: chrome.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,567 - INFO - Software: PID: 13492, Name: mcshield.exe, Username: None
2025-04-03 14:12:06,567 - INFO - Software: PID: 13632, Name: AsusScreenXpertReunion.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,569 - INFO - Software: PID: 13636, Name: ctfmon.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,571 - INFO - Software: PID: 13644, Name: PhoneExperienceHost.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,571 - INFO - Software: PID: 13668, Name: chrome.exe, Username: LAPTOP-2HIEQ3KN\ASUS
